mirna,target_gene,target_ensemble_id,mirna_key,mirna_ensamble_id
rno-miR-206-3p,Hif1a,ENSRNOG00000008292,206,ENSRNOG00000035498
rno-miR-145-5p,Camk2g,ENSRNOG00000009783,145,ENSRNOG00000035474
rno-miR-34a-5p,Bcl2,ENSRNOG00000067693,34a,ENSRNOG00000035623
rno-miR-30a-5p,Becn1,ENSRNOG00000020513,30a,ENSRNOG00000035646
rno-miR-195-5p,App,ENSRNOG00000006997,195,ENSRNOG00000035638
rno-miR-139-5p,Pafah1b1,ENSRNOG00000002755,139,ENSRNOG00000035601
rno-miR-146a-5p,Irak1,ENSRNOG00000060869,146a,ENSRNOG00000035466
rno-miR-146a-5p,Traf6,ENSRNOG00000004639,146a,ENSRNOG00000035466
rno-miR-132-3p,Lrrfip1,ENSRNOG00000019892,132,ENSRNOG00000035516
rno-miR-144-3p,Pten,ENSRNOG00000020723,144,ENSRNOG00000035647
rno-miR-145-5p,Tsc2,ENSRNOG00000011375,145,ENSRNOG00000035474
rno-miR-21-5p,Rela,ENSRNOG00000030888,21,ENSRNOG00000035480
rno-miR-27b-3p,Ccl2,ENSRNOG00000007159,27b,ENSRNOG00000035576
rno-miR-672-5p,Tnfsf10,ENSRNOG00000067968,672,ENSRNOG00000040357
rno-miR-672-5p,Fndc1,ENSRNOG00000030210,672,ENSRNOG00000040357
rno-miR-98-5p,Stat3,ENSRNOG00000019742,98,ENSRNOG00000035656
rno-miR-652-3p,Jag1,ENSRNOG00000007443,652,ENSRNOG00000040458
rno-miR-21-5p,Ski,ENSRNOG00000055340,21,ENSRNOG00000035480
rno-miR-17-5p,Hspa4,ENSRNOG00000016596,17,ENSRNOG00000035657
rno-miR-17-5p,Hspa8,ENSRNOG00000034066,17,ENSRNOG00000035657
rno-miR-17-5p,Canx,ENSRNOG00000003343,17,ENSRNOG00000035657
rno-miR-17-5p,Golga2,ENSRNOG00000011884,17,ENSRNOG00000035657
rno-miR-206-3p,Bdnf,ENSRNOG00000047466,206,ENSRNOG00000035498
rno-miR-144-3p,Tlr2,ENSRNOG00000009822,144,ENSRNOG00000035647
rno-miR-181c-5p,Tlr4,ENSRNOG00000010522,181c,ENSRNOG00000035569
rno-miR-16-5p,Ccnd1,ENSRNOG00000020918,16,ENSRNOG00000035504
rno-miR-16-5p,Ccnd2,ENSRNOG00000062959,16,ENSRNOG00000035504
rno-miR-16-5p,Ccne1,ENSRNOG00000014786,16,ENSRNOG00000035504
rno-miR-30a-5p,Psen2,ENSRNOG00000002879,30a,ENSRNOG00000035646
rno-miR-34a-5p,Acsl1,ENSRNOG00000010633,34a,ENSRNOG00000035623
rno-miR-433-3p,Hif1a,ENSRNOG00000008292,433,ENSRNOG00000036497
rno-miR-27a-3p,Foxo3,ENSRNOG00000000299,27a,ENSRNOG00000035597
